hamming	0.035	TREECLUSTER-single-linkage	0.05607211634106074	42878
patristic	0.04	TREECLUSTER-single-linkage	0.04106865114624527	36480
hamming	0.04	TREECLUSTER-single-linkage	0.0613261895320714	36480
patristic	0.045	TREECLUSTER-single-linkage	0.04795594212461482	31362
hamming	0.045	TREECLUSTER-single-linkage	0.06609151797557143	31362
patristic	0.05	TREECLUSTER-single-linkage	0.055280539136633	27078
hamming	0.05	TREECLUSTER-single-linkage	0.07075252733584743	27078
patristic	0.06	TREECLUSTER-single-linkage	0.07304169978760731	20191
hamming	0.06	TREECLUSTER-single-linkage	0.08081892357123437	20191
patristic	0.07	TREECLUSTER-single-linkage	0.09071245878554933	15335
patristic	0.08	TREECLUSTER-single-linkage	0.1080269165324811	11593
patristic	0.09	TREECLUSTER-single-linkage	0.1253002207122758	8851
patristic	0.1	TREECLUSTER-single-linkage	0.14108692886128898	6790
patristic	0.03	GG(UCLUST)	0.010206783071250449	99322
hamming	0.03	GG(UCLUST)	0.023471568225915635	99322
patristic	0.06	GG(UCLUST)	0.03328286081738587	46256
hamming	0.06	GG(UCLUST)	0.047271674673190295	46256
patristic	0.09	GG(UCLUST)	0.06813084606008703	22090
hamming	0.09	GG(UCLUST)	0.06918398690920115	22090
patristic	0.12	GG(UCLUST)	0.10332792332073806	10544
hamming	0.12	GG(UCLUST)	0.08713476026723282	10544
patristic	0.15	GG(UCLUST)	0.1483340399733646	5088
hamming	0.15	GG(UCLUST)	0.10508841031091419	5088
